objc[10219]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/bin/java (0x10c2604c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10c3284e0). One of the two will be used. Which one is undefined.
Changing topLevelFeatureSpaceSize from10 to75 with step of 5
Constant defaultBinSizeForSubClustering: 20
topLevelFeatureSpaceSize, numTopRecluster, numSubRecluster
10 , 6 , 11
15 , 11 , 23
20 , 16 , 33
25 , 23 , 45
30 , 32 , 54
35 , 40 , 65
40 , 47 , 70
45 , 56 , 76
50 , 64 , 83
55 , 71 , 89
60 , 78 , 99
65 , 85 , 108
70 , 92 , 117
75 , 97 , 133
Changing binSizeForSubClustering from10 to26 with step of 2
Constant defaultTopSize: 50
binSizeForSubClustering, numTopRecluster, numSubRecluster
50 , 105 , 135
50 , 113 , 139
50 , 121 , 144
50 , 129 , 151
50 , 137 , 158
50 , 145 , 164
50 , 153 , 171
50 , 161 , 179
50 , 169 , 187
